division_rank,first_name,last_name,alias,region,division,conservative_rating,mu,sigma,ordinal,matches_played,percentage_of_best
691,Sebastian,K,,SWE,Pistol Caliber Carbine,-5.3,18.51,28.29,-66.36,1,-8.65
692,Erik,Everbrink,,SWE,Pistol Caliber Carbine,-5.5,18.34,28.33,-66.64,1,-8.98
693,Mattias,Högström,mattias,SWE,Pistol Caliber Carbine,-5.6,18.4,28.53,-67.17,1,-9.14
694,Thomas,Holmström,thohol,SWE,Pistol Caliber Carbine,-5.66,18.43,28.62,-67.43,1,-9.23
695,Zacharias,Böhm,,SWE,Pistol Caliber Carbine,-5.8,18.12,28.42,-67.15,1,-9.47
696,Carl,Körlof,,SWE,Pistol Caliber Carbine,-5.85,14.56,24.26,-58.2,4,-9.54
697,Malin,Boström,,SWE,Pistol Caliber Carbine,-8.97,11.88,24.77,-62.43,4,-14.63
698,Dan,Hedberg,,SWE,Pistol Caliber Carbine,-9.49,14.52,28.53,-71.08,1,-15.48
699,Tobbe,C,,SWE,Pistol Caliber Carbine,-9.52,14.27,28.27,-70.54,1,-15.54
700,Tony,,,SWE,Pistol Caliber Carbine,-9.63,14.52,28.7,-71.57,1,-15.71
701,Oskar,Andersson,,SWE,Pistol Caliber Carbine,-9.88,14.07,28.46,-71.31,1,-16.12
702,Andreas,Nilsson,boyd,SWE,Pistol Caliber Carbine,-9.92,14.02,28.45,-71.32,1,-16.19
703,Sara,Berglöf,,SWE,Pistol Caliber Carbine,-13.14,9.86,27.33,-72.12,2,-21.43
704,Claes,Kjellin,ckm,SWE,Pistol Caliber Carbine,-17.35,5.72,27.41,-76.51,2,-28.3
