division_rank,first_name,last_name,alias,region,division,conservative_rating,mu,sigma,ordinal,matches_played,percentage_of_best
699,johan,warholm,joho81,SWE,Standard,4.8,23.29,21.97,-42.61,11,10.51
700,Andreas,Lundqvist Ferreira,alf,SWE,Standard,4.8,24.41,23.3,-45.48,4,10.51
701,Adam,Odgaard-Nexe,nexus,SWE,Standard,4.79,26.78,26.12,-51.59,3,10.49
702,Ji-Ung,Um,,SWE,Standard,4.78,22.19,20.69,-39.88,10,10.46
703,Björn,Bekkouche,,SWE,Standard,4.77,25.21,24.28,-47.63,4,10.45
704,Fredrik,Miklaheim,frippen,SWE,Standard,4.77,24.0,22.85,-44.56,7,10.43
705,Claes,N-son,securitymanager,SWE,Standard,4.77,23.92,22.76,-44.37,5,10.43
706,Adam,Lindholm,adaml,SWE,Standard,4.74,24.79,23.83,-46.69,4,10.38
707,Pia,Nordquist,,SWE,Standard,4.74,22.24,20.8,-40.15,5,10.37
708,Martin,Assarsson,,SWE,Standard,4.73,26.17,25.47,-50.25,2,10.37
709,Eddie,Karlsson,silverjoker,SWE,Standard,4.73,25.15,24.25,-47.62,3,10.37
710,Marcus,NotKnown,kobayashi,SWE,Standard,4.7,25.68,24.94,-49.12,3,10.28
711,Mats,Wiman,,SWE,Standard,4.68,24.34,23.35,-45.72,8,10.25
712,Henry,Ivarsson,henry77,SWE,Standard,4.68,24.26,23.26,-45.52,4,10.25
713,Rikard,Höijertz,formsvag,SWE,Standard,4.65,22.95,21.75,-42.29,8,10.18
714,Klas,N-son,securitymanager,SWE,Standard,4.63,25.17,24.4,-48.04,5,10.15
715,Per-Olof,Emanuelsson,axel,SWE,Standard,4.63,22.01,20.65,-39.96,8,10.13
716,ulf,moen,,SWE,Standard,4.61,23.39,22.31,-43.53,11,10.1
717,Ronja,Yngve,,SWE,Standard,4.6,25.42,24.73,-48.78,3,10.08
718,Johan,Grundin,johang,SWE,Standard,4.6,24.8,24.0,-47.21,4,10.07
719,Daniel,Lindau,danii,SWE,Standard,4.6,23.01,21.88,-42.64,7,10.06
720,Per,Eriksson,hemsk,SWE,Standard,4.57,22.34,21.12,-41.02,7,10.0
721,Jesper,Jennerholm,jester,SWE,Standard,4.56,23.88,22.95,-44.98,4,9.99
722,Therry,Ellgren,,SWE,Standard,4.56,24.55,23.75,-46.69,5,9.99
723,Vegard,Myrlund Hansen,vmh,SWE,Standard,4.56,23.9,22.97,-45.02,4,9.99
724,Andreas,Paulsson,,SWE,Standard,4.54,25.26,24.61,-48.58,3,9.95
725,Malik,Thor,malle,SWE,Standard,4.53,22.15,20.93,-40.64,9,9.93
726,Daniel,Lundahl,iamlundahl,SWE,Standard,4.53,25.53,24.94,-49.3,3,9.92
727,Håkan,Råström,hakra,SWE,Standard,4.48,24.52,23.81,-46.91,4,9.81
728,Christian,Johansson,,SWE,Standard,4.48,22.62,21.56,-42.05,6,9.8
729,Henrik,Holmer,,SWE,Standard,4.47,24.25,23.5,-46.24,5,9.79
730,David,Andersson,davane,SWE,Standard,4.47,24.92,24.3,-47.98,4,9.78
731,Amer,Sipkar,,SWE,Standard,4.46,23.81,22.99,-45.15,5,9.77
732,Kristian,Ravantti,mkravantti,SWE,Standard,4.45,22.87,21.88,-42.78,6,9.75
733,Jari,Miettinen,,SWE,Standard,4.44,24.93,24.35,-48.13,4,9.72
734,Mattias,Alsterberg,,SWE,Standard,4.43,23.53,22.69,-44.55,6,9.7
735,Patrik,Johansson,patrikjohansson,SWE,Standard,4.43,24.03,23.3,-45.86,4,9.69
736,Thorgeir,Innervik,,SWE,Standard,4.42,24.26,23.57,-46.44,6,9.68
737,Robin,Andersson,,SWE,Standard,4.42,24.19,23.49,-46.29,4,9.68
738,Wilma,Andersson,wilmis,SWE,Standard,4.41,20.0,18.52,-35.56,12,9.66
739,Joakim,Johansson,,SWE,Standard,4.4,20.5,19.13,-36.89,10,9.64
740,Patrik,Lundqvist,,SWE,Standard,4.39,23.2,22.35,-43.84,5,9.61
741,Christopher,Lundberg,clg,SWE,Standard,4.38,24.96,24.45,-48.4,3,9.58
742,Anders,Nilsson,spof80,SWE,Standard,4.37,24.66,24.1,-47.65,4,9.57
743,Christian,Luckmann,elespecia,SWE,Standard,4.37,26.62,26.44,-52.7,5,9.56
744,Niclas,Lundqvist,,SWE,Standard,4.35,24.04,23.39,-46.13,5,9.53
745,Joakim,Danielsson,,SWE,Standard,4.34,24.54,24.0,-47.46,3,9.5
746,Bernt,Wernby,,SWE,Standard,4.33,24.9,24.44,-48.42,4,9.49
747,Tobias,Bergkvist,lillomeister,SWE,Standard,4.33,23.11,22.32,-43.84,5,9.48
748,Janne,Komminaho,janko,SWE,Standard,4.3,24.61,24.13,-47.79,5,9.42
749,Billy,Hägervik,,SWE,Standard,4.29,24.62,24.15,-47.83,3,9.4
750,Ulf,Nilsson,falcon,SWE,Standard,4.29,23.58,22.92,-45.18,6,9.4
751,Andreas,Feldt,,SWE,Standard,4.29,24.6,24.13,-47.79,3,9.39
752,Henrik,Matern,hachiman,SWE,Standard,4.23,24.31,23.86,-47.26,9,9.27
753,Johan,Andersson,dykarjohan,SWE,Standard,4.22,21.7,20.77,-40.62,9,9.23
754,Robert,Eriksson,,SWE,Standard,4.22,24.56,24.17,-47.96,4,9.23
755,Toni,Kaic,kaic,SWE,Standard,4.22,17.92,16.28,-30.93,16,9.23
756,John,Nilsson,,SWE,Standard,4.21,16.51,14.61,-27.33,22,9.22
757,Malik,T,malle,SWE,Standard,4.2,23.17,22.54,-44.44,6,9.2
758,Markus,Nylander,,SWE,Standard,4.2,23.43,22.85,-45.13,6,9.19
759,Andreas,Sandström,sand,SWE,Standard,4.18,25.2,24.97,-49.72,3,9.15
760,Mats,Forsell,mrlangos,SWE,Standard,4.14,23.82,23.38,-46.32,5,9.06
761,Daniel,Gardh,gardh,SWE,Standard,4.14,25.27,25.11,-50.06,5,9.06
762,Kalle,Glad,kman,SWE,Standard,4.14,25.37,25.22,-50.31,2,9.06
763,Niklas,Eriksson,,SWE,Standard,4.14,25.76,25.7,-51.33,5,9.06
764,Martin,Jinnestrand,,SWE,Standard,4.12,25.32,25.2,-50.26,5,9.01
765,Erik,Lorentzson,erikku,SWE,Standard,4.11,23.97,23.6,-46.82,6,9.0
766,Rolf,Jakobsson,skrotis,SWE,Standard,4.1,24.39,24.1,-47.93,4,8.97
767,Oscar,Cederqvist,,SWE,Standard,4.1,23.91,23.54,-46.7,5,8.97
768,Niklas,Björkman,spaceflower,SWE,Standard,4.1,24.8,24.6,-49.0,4,8.97
769,Martin,Cullberg,martin,SWE,Standard,4.09,24.3,24.02,-47.75,4,8.95
770,Albin,Persson,,SWE,Standard,4.09,23.94,23.59,-46.82,3,8.95
771,Christofer,Ramkvist,aklagare,SWE,Standard,4.07,17.78,16.29,-31.09,16,8.91
772,Eric,Fredriksson,fredriksson,SWE,Standard,4.06,23.91,23.59,-46.85,3,8.88
773,Christer,Siverud,,SWE,Standard,4.05,23.46,23.07,-45.73,7,8.86
774,Per,L,perlundin,SWE,Standard,4.04,24.0,23.71,-47.12,4,8.85
