division_rank,first_name,last_name,alias,region,division,conservative_rating,mu,sigma,ordinal,matches_played,percentage_of_best
112,Johan,Nilsson,,SWE,Classic,5.27,23.95,22.2,-42.64,6,17.82
113,Peter,Björnstedt,,SWE,Classic,5.26,22.93,20.99,-40.05,8,17.79
114,Anton,Öhlund,redde,SWE,Classic,5.25,25.06,23.54,-45.55,8,17.75
115,Steve,Knutsson,stevo,SWE,Classic,5.22,25.32,23.88,-46.32,3,17.65
116,Unto,Jarvald,,SWE,Classic,5.15,24.24,22.68,-43.8,8,17.43
117,Andreas,Carlström,bossmag,SWE,Classic,5.02,23.81,22.33,-43.17,5,16.98
118,Charlie,Johansson,,SWE,Classic,5.02,25.33,24.13,-47.06,7,16.98
119,Michael,Bjurshagen,mibj,SWE,Classic,5.02,25.22,24.0,-46.79,4,16.97
120,Anders,Bergsten,musslan,SWE,Classic,4.97,24.7,23.43,-45.61,4,16.82
121,Ola,Nilsson,xa180,SWE,Classic,4.8,31.07,31.21,-62.56,2,16.24
122,Johan,Svanmark,,SWE,Classic,4.79,24.23,23.1,-45.07,9,16.2
123,Patric,Gustafsson,dronten,SWE,Classic,4.76,20.02,18.13,-34.37,13,16.11
124,IPSC,Sylta,sylta,SWE,Classic,4.65,22.83,21.6,-41.97,6,15.73
125,Johan,Kinhult,,SWE,Classic,4.64,19.92,18.15,-34.55,13,15.68
126,Anton,Johansson,,SWE,Classic,4.63,20.11,18.39,-35.06,10,15.66
127,Jon,Svensson,jon,SWE,Classic,4.51,20.98,19.57,-37.72,9,15.26
128,Max,Hartow,maxhardcore,SWE,Classic,4.44,24.99,24.41,-48.23,4,15.03
129,Håkan,Friberg,frippe,SWE,Classic,4.4,25.49,25.06,-49.68,3,14.88
130,Daniel,Kalem,,SWE,Classic,4.4,23.92,23.19,-45.66,4,14.88
131,Mats,Karlsson,yaps,SWE,Classic,4.39,25.34,24.89,-49.33,2,14.85
132,Daniel,Stenbäck,dst,SWE,Classic,4.23,24.38,23.95,-47.46,5,14.3
133,Erling,Carlsson,ling,SWE,Classic,4.22,23.78,23.24,-45.95,6,14.28
134,Bo,Edin,clickmaster,SWE,Classic,4.21,25.52,25.32,-50.45,7,14.24
135,Niklas,Lindkvist,humle,SWE,Classic,4.21,22.61,21.86,-42.97,9,14.23
136,Fredrik,Ivarsson,,SWE,Classic,4.15,21.94,21.14,-41.47,6,14.04
137,Ola,D,oda,SWE,Classic,4.06,24.83,24.68,-49.2,3,13.74
138,Fredrik,Nilsson,pistolfredde,SWE,Classic,3.97,23.91,23.7,-47.19,4,13.42
139,Harry,Veddevik,harpan,SWE,Classic,3.95,24.25,24.12,-48.11,6,13.35
140,Patrik,Spett,,SWE,Classic,3.93,18.47,17.28,-33.36,10,13.28
141,Bertil,Haglund,ramrod,SWE,Classic,3.91,25.72,25.92,-52.04,3,13.21
142,Mikael,Eastling,pergite,SWE,Classic,3.9,27.08,27.54,-55.54,1,13.19
143,Fredrik,Poller,poller,SWE,Classic,3.88,23.74,23.6,-47.05,6,13.12
144,Stefan,Vålberg,valberg,SWE,Classic,3.74,24.08,24.16,-48.41,3,12.65
145,Marcus,Stenöien,grandpower,SWE,Classic,3.72,24.06,24.16,-48.43,4,12.59
146,Pia,Nordquist,,SWE,Classic,3.72,25.52,25.9,-52.19,2,12.58
147,Jerry,Obeng,obe1,SWE,Classic,3.7,23.58,23.63,-47.3,3,12.5
148,Johan,Lundell,lundell,SWE,Classic,3.65,23.55,23.64,-47.38,5,12.34
149,Anders,Rohlen,,SWE,Classic,3.59,24.6,24.96,-50.29,5,12.14
150,Henrik,Kalling,thunderpants,SWE,Classic,3.53,20.34,19.98,-39.61,11,11.93
151,Peter,Hakestam,resistent,SWE,Classic,3.51,23.73,24.03,-48.35,5,11.87
152,Jesper,Jennerholm,jester,SWE,Classic,3.47,25.33,25.98,-52.6,3,11.74
153,Joakim,Svensson,gadgeten,SWE,Classic,3.38,23.07,23.41,-47.14,6,11.42
154,Andreas,Ljungberg,,SWE,Classic,3.35,25.1,25.84,-52.43,3,11.33
155,chris,jonkers,chijo,SWE,Classic,3.3,24.86,25.62,-51.99,6,11.16
156,Petter,Hald,p1er,SWE,Classic,3.06,24.51,25.49,-51.96,2,10.34
157,Andy,Hällström,anh55,SWE,Classic,2.95,21.52,22.07,-44.69,6,9.96
158,Fredrik,Pejlert,fpt,SWE,Classic,2.92,25.07,26.33,-53.91,3,9.86
159,Kalle,Glad,kman,SWE,Classic,2.74,25.33,26.85,-55.22,1,9.25
160,Fredrik,Lindén,tacbeardedman,SWE,Classic,2.41,24.91,26.74,-55.31,2,8.13
161,Peter,Berglöf,therigg,SWE,Classic,2.29,24.03,25.83,-53.46,2,7.74
162,Max,Gidhagen,maxgid,SWE,Classic,2.27,25.4,27.48,-57.04,2,7.69
163,Jörgen,Sandberg,jojje74,SWE,Classic,2.26,24.04,25.88,-53.6,3,7.63
164,Sonny,Forsberg,liston,SWE,Classic,2.18,24.4,26.4,-54.81,2,7.37
165,Kevin,Kirk,,SWE,Classic,2.0,24.23,26.42,-55.02,3,6.76
166,Erik,Gärdin,gerdin,SWE,Classic,1.95,24.58,26.89,-56.1,2,6.58
167,Anton,P,redde,SWE,Classic,1.87,25.3,27.84,-58.23,1,6.31
168,Hans,Augustsson,,SWE,Classic,1.86,24.61,27.03,-56.49,2,6.29
169,Bernt,Andersson,bernt58,SWE,Classic,1.85,20.03,21.61,-44.79,9,6.25
170,Richard W,Lundgren,mabuse,SWE,Classic,1.85,22.33,24.34,-50.69,4,6.25
171,Andy,Sundblad,asundblad,SWE,Classic,1.85,24.47,26.88,-56.17,2,6.25
172,Erik,B,drfoxduck,SWE,Classic,1.83,25.05,27.6,-57.74,2,6.18
173,Lars,Mellberg,mellis,SWE,Classic,1.81,25.11,27.69,-57.95,2,6.13
174,Ola,Axelsson,,SWE,Classic,1.79,25.07,27.66,-57.92,1,6.05
175,Mikael,Johansson,fafnir,SWE,Classic,1.79,24.88,27.44,-57.45,2,6.04
176,Tomme,Tott,tomme,SWE,Classic,1.74,23.51,25.87,-54.09,2,5.9
177,Christian,Rönnlöf,,SWE,Classic,1.73,23.82,26.25,-54.94,3,5.83
178,Dennis,Husell,,SWE,Classic,1.72,24.68,27.28,-57.17,3,5.82
179,Dennis,Andersson,dempa,SWE,Classic,1.66,24.57,27.22,-57.1,2,5.62
180,Dan,Söderström,scorpion,SWE,Classic,1.66,25.25,28.03,-58.84,1,5.61
181,Kristoffer,Sixten,,SWE,Classic,1.64,24.96,27.71,-58.16,1,5.56
182,Peter,Andersson,anderssonhp,SWE,Classic,1.57,25.11,27.97,-58.81,1,5.3
183,David,Midhage,,SWE,Classic,1.56,24.93,27.77,-58.37,1,5.27
184,Leif,Hagberg,vsop,SWE,Classic,1.56,24.48,27.24,-57.25,3,5.26
185,Anton,Grimm,labban,SWE,Classic,1.55,24.46,27.22,-57.2,3,5.25
186,Jonas,Stellemark,stellemark,SWE,Classic,1.44,21.26,23.56,-49.41,4,4.86
187,Per,Zachrison,zacke,SWE,Classic,1.42,23.89,26.7,-56.21,2,4.8
188,fredrik,.,frekjem,SWE,Classic,1.39,24.94,27.98,-59.01,1,4.69
189,Andy,S,asundblad,SWE,Classic,1.37,25.02,28.09,-59.26,1,4.65
190,Thomas,Möllerberg,1familyman,SWE,Classic,1.37,24.42,27.4,-57.77,1,4.62
191,Henrik,Vierula,brodhir,SWE,Classic,1.34,24.33,27.32,-57.62,1,4.54
192,Anders,Magnevall,andersm,SWE,Classic,1.34,24.37,27.36,-57.72,1,4.54
193,Håkan,Gunneriusson,,SWE,Classic,1.32,24.34,27.35,-57.72,2,4.47
194,Kjell,Larsson,kmkjelle,SWE,Classic,1.32,24.86,27.97,-59.04,1,4.46
195,Per-Olof,Emanuelsson,axel,SWE,Classic,1.32,18.51,20.43,-42.77,10,4.46
196,Henrik,Kumm,miyagi,SWE,Classic,1.31,24.88,28.0,-59.13,1,4.44
197,Magnus,Pettersson,,SWE,Classic,1.31,24.71,27.81,-58.71,1,4.43
198,John,Andersson,,SWE,Classic,1.3,24.26,27.29,-57.6,7,4.39
199,jaakko,kangasvieri,jaakko,SWE,Classic,1.29,25.1,28.29,-59.78,2,4.36
200,Mats O.,Bäckström,dalmas4,SWE,Classic,1.24,26.37,29.85,-63.2,1,4.19
201,Urban,Wennström,urwe,SWE,Classic,1.22,24.3,27.42,-57.98,1,4.11
202,Erik,Hansson,snubbelfot,SWE,Classic,1.19,14.55,15.87,-33.07,20,4.03
203,Kristian,Gustafsson,,SWE,Classic,1.19,25.13,28.45,-60.23,1,4.01
204,Kai,Tranefors,,SWE,Classic,1.17,19.87,22.23,-46.82,6,3.94
205,Lars,Pålsson,,SWE,Classic,1.14,24.97,28.31,-59.96,1,3.87
206,Peter,Berg,duckster,SWE,Classic,1.13,24.1,27.3,-57.79,3,3.81
207,Johan,Gustavsson,,SWE,Classic,1.11,24.1,27.31,-57.83,1,3.77
208,Fredrik,Petersson,,SWE,Classic,1.11,23.79,26.95,-57.07,2,3.74
209,Norbert,Patay,9255,SWE,Classic,1.08,24.61,27.96,-59.27,1,3.64
210,Jonathan,Rask Nordvall,,SWE,Classic,1.07,25.13,28.58,-60.61,1,3.63
211,Jonas,Eriksson,jonte8891,SWE,Classic,1.06,23.86,27.09,-57.41,2,3.58
212,Mikael,Otter,,SWE,Classic,1.02,25.03,28.53,-60.55,2,3.46
213,Lars,Andersson,,SWE,Classic,1.02,24.67,28.1,-59.64,1,3.46
214,Karin,Wiklund,kwi,SWE,Classic,1.02,24.38,27.76,-58.89,1,3.45
215,Glenn,Alenäs,10mm,SWE,Classic,0.99,23.77,27.07,-57.45,3,3.34
216,Eric,Bergman,drfoxduck,SWE,Classic,0.95,25.32,28.96,-61.55,1,3.22
217,Erik,Stjernlöf,starleaf,SWE,Classic,0.87,24.59,28.19,-59.96,2,2.95
218,Daniel,Freij,fr3ij,SWE,Classic,0.86,25.13,28.84,-61.39,1,2.9
219,Nicklas,Andersson,najco,SWE,Classic,0.82,23.86,27.37,-58.25,4,2.78
220,Dan,Hovang,,SWE,Classic,0.8,24.14,27.73,-59.06,1,2.71
221,Benny,Nilsson,,SWE,Classic,0.79,24.51,28.17,-60.01,1,2.69
222,Kent,Westerlund,kwesen,SWE,Classic,0.79,25.35,29.18,-62.19,1,2.68
223,Johan,Berglund,,SWE,Classic,0.79,24.39,28.04,-59.73,2,2.67
224,Mikko,Seppälä,,SWE,Classic,0.79,24.17,27.78,-59.17,1,2.67
225,Hans,Lundberg,number13,SWE,Classic,0.77,24.22,27.86,-59.37,2,2.59
226,Peter,Johansson,,SWE,Classic,0.76,24.7,28.45,-60.64,1,2.57
227,Martin,S,,SWE,Classic,0.73,24.39,28.11,-59.94,1,2.47
228,Mikael,Lund,,SWE,Classic,0.69,24.3,28.05,-59.86,1,2.32
229,Hagbard,Paulson,hagbard,SWE,Classic,0.59,24.69,28.63,-61.21,1,2.0
230,Erik,Johansson,agerik,SWE,Classic,0.54,23.49,27.27,-58.33,4,1.81
231,Bo,Ekman,malish,SWE,Classic,0.54,24.51,28.48,-60.94,5,1.81
232,Thomas,Ekstrand,theken,SWE,Classic,0.51,24.91,28.98,-62.04,2,1.74
233,Joel,Gustavsson,,SWE,Classic,0.46,23.41,27.27,-58.39,5,1.56
234,Mike,Winnerstig,,SWE,Classic,0.44,19.2,22.28,-47.66,7,1.49
235,Michael,Lindblom,,SWE,Classic,0.44,25.08,29.28,-62.76,1,1.48
236,Per,Holmström,lillper,SWE,Classic,0.4,24.37,28.47,-61.06,3,1.37
237,Niklas,Faltin,faltin,SWE,Classic,0.39,23.93,27.97,-59.98,2,1.32
238,Anders,Staaf,staafen,SWE,Classic,0.34,23.88,27.97,-60.04,1,1.14
239,Ola,Heldh,drutten,SWE,Classic,0.32,24.09,28.24,-60.64,1,1.09
240,Mattias,Nilsson,evilprincejohn,SWE,Classic,0.32,22.78,26.69,-57.29,3,1.07
241,Andreas,Dahlbom,,SWE,Classic,0.18,24.35,28.72,-61.8,1,0.62
242,Carl-johan,Johansson,,SWE,Classic,-0.0,24.2,28.75,-62.07,4,-0.02
243,Hakan,Larsson,vpgr,SWE,Classic,-0.02,25.0,29.73,-64.18,1,-0.06
244,Boris,Nilsson,mazer,SWE,Classic,-0.1,23.56,28.11,-60.76,3,-0.32
245,Jens,Söderlund,nanoti,SWE,Classic,-0.14,25.13,30.02,-64.94,1,-0.47
246,Daniel,S,dst,SWE,Classic,-0.24,24.62,29.53,-63.98,1,-0.8
247,Jonathan,Larsson,,SWE,Classic,-0.29,21.23,25.56,-55.46,3,-0.97
248,IVAN,Lundgren,,SWE,Classic,-0.33,24.85,29.92,-64.92,3,-1.13
249,Claes,Nilsson,ice413,SWE,Classic,-0.44,24.13,29.19,-63.44,2,-1.49
250,Daniel,Härelind,backbreaker,SWE,Classic,-0.48,22.85,27.73,-60.32,3,-1.63
251,Peter,Åkerling,pnutz,SWE,Classic,-0.49,24.35,29.51,-64.18,1,-1.65
252,Håkan,Eklund,craw,SWE,Classic,-0.5,24.14,29.27,-63.67,1,-1.68
253,Torbjörn,Kjellvestad,,SWE,Classic,-0.52,24.5,29.72,-64.66,1,-1.75
254,Daniel,Johansson,unleaded,SWE,Classic,-0.52,23.92,29.03,-63.18,1,-1.75
255,Mikael,Engblom,micke3000,SWE,Classic,-0.66,24.37,29.73,-64.83,1,-2.22
256,Jan,Mattsson,,SWE,Classic,-0.67,24.87,30.35,-66.17,1,-2.27
257,Johan,Roijer,griffin,SWE,Classic,-0.67,24.78,30.25,-65.96,1,-2.28
