division_rank,first_name,last_name,alias,region,division,conservative_rating,mu,sigma,ordinal,matches_played,percentage_of_best
4092,Patrick,Jankovic,,SWE,Production,-3.92,15.4,22.96,-53.46,12,-6.63
4093,Henrik,Springare,,SWE,Production,-3.92,15.4,22.95,-53.46,9,-6.64
4094,Aron,NotKnown,,SWE,Production,-3.94,18.38,26.52,-61.17,3,-6.67
4095,Björn,Lindroth,,SWE,Production,-3.94,20.76,29.34,-67.28,1,-6.67
4096,Jonas,Luckmann,,SWE,Production,-3.94,24.15,33.38,-75.98,2,-6.67
4097,Carolina,Tilljander,,SWE,Production,-3.95,11.19,17.99,-42.78,13,-6.69
4098,Olle,Lindskog,olle,SWE,Production,-3.96,24.92,34.31,-78.02,1,-6.7
4099,Magnus,Sandblom,sand73,SWE,Production,-3.96,17.26,25.21,-58.36,5,-6.7
4100,Christian,Westling,,SWE,Production,-3.96,19.07,27.36,-63.01,2,-6.71
4101,Henrik,Berg,,SWE,Production,-3.97,21.03,29.7,-68.08,2,-6.72
4102,Mattias,Lindbom,mli919,SWE,Production,-3.97,24.88,34.28,-77.96,1,-6.73
4103,Michael,Henebratt,,SWE,Production,-3.98,16.44,24.26,-56.34,4,-6.73
4104,Elinor,Wigander Mattsson,,SWE,Production,-3.98,19.42,27.81,-64.0,1,-6.74
4105,Huberr,Radecki,,SWE,Production,-3.98,15.57,23.23,-54.12,5,-6.75
4106,Bengt,Bäckström,duracell,SWE,Production,-4.0,24.53,33.9,-77.16,1,-6.77
4107,Ali,Karimi,,SWE,Production,-4.0,20.29,28.86,-66.29,1,-6.77
4108,Kasra,Ashhami,,SWE,Production,-4.0,18.93,27.25,-62.81,2,-6.77
4109,Martin,Näslund,,SWE,Production,-4.0,24.95,34.4,-78.24,1,-6.77
4110,Rikard,Karlsson,,SWE,Production,-4.0,19.39,27.79,-63.99,1,-6.78
4111,Henric,Johnsson,,SWE,Production,-4.02,19.32,27.73,-63.88,2,-6.81
4112,Lars,Gyllenstedt,mrlars,SWE,Production,-4.03,18.19,26.4,-61.0,2,-6.82
4113,Tommi,Kärkkäinen,,SWE,Production,-4.03,19.44,27.88,-64.21,2,-6.82
4114,Joakim,Larsson,mitnick,SWE,Production,-4.04,19.51,27.97,-64.41,1,-6.83
4115,Johan,Siverland,dogdriver,SWE,Production,-4.04,25.19,34.74,-79.02,1,-6.85
4116,johan,Engström,,SWE,Production,-4.04,24.97,34.47,-78.45,1,-6.85
4117,Henrik,Berlin,,SWE,Production,-4.06,24.43,33.85,-77.13,1,-6.87
4118,Björn,Lindkvist,,SWE,Production,-4.07,18.99,27.39,-63.18,2,-6.88
4119,Johan,Persson,,SWE,Production,-4.1,24.61,34.12,-77.74,2,-6.94
4120,Christer,Aspelin,,SWE,Production,-4.1,19.28,27.78,-64.06,4,-6.95
4121,Samuel,NotKnown,,SWE,Production,-4.11,15.73,23.56,-54.97,6,-6.95
4122,Marcus,Lundberg,maccan,SWE,Production,-4.11,15.4,23.18,-54.14,5,-6.95
4123,Andreas,Schmidt,asm,SWE,Production,-4.11,25.02,34.61,-78.8,1,-6.95
4124,Magnus,von Bromsen,brake6,SWE,Production,-4.12,25.23,34.88,-79.4,2,-6.98
4125,Kristian,Ravantti,mkravantti,SWE,Production,-4.13,14.5,22.13,-51.88,7,-6.99
4126,Sami,Sinervä,,SWE,Production,-4.13,25.09,34.71,-79.05,1,-6.99
4127,Johan,Gertsson,,SWE,Production,-4.13,16.99,25.1,-58.29,4,-6.99
4128,Robert,Hessel,,SWE,Production,-4.13,24.67,34.23,-78.01,1,-7.0
4129,Christian,Kangaji,,SWE,Production,-4.15,21.18,30.1,-69.11,1,-7.03
4130,Mats,Yngvesson,,SWE,Production,-4.15,24.83,34.44,-78.48,1,-7.03
4131,Karsten,Persson,karper,SWE,Production,-4.16,24.98,34.62,-78.87,1,-7.04
4132,Kristoffer,Forsberg,,SWE,Production,-4.17,25.1,34.77,-79.22,1,-7.05
4133,Rikard,Eriksson,,SWE,Production,-4.17,24.63,34.21,-78.01,1,-7.05
4134,Johan,Gullberg,,SWE,Production,-4.17,21.19,30.12,-69.19,1,-7.06
4135,"Sat Sangeet ""Singh""",Hansen,,SWE,Production,-4.19,17.89,26.23,-60.8,3,-7.09
4136,Mats,Hansson,,SWE,Production,-4.19,24.95,34.62,-78.91,1,-7.09
4137,Patrik,lövenius,,SWE,Production,-4.2,24.79,34.45,-78.56,1,-7.11
4138,Fredrik,Wikund,frwi,SWE,Production,-4.2,18.31,26.75,-61.94,2,-7.11
4139,Jens,Gustavsson,,SWE,Production,-4.22,24.79,34.47,-78.61,1,-7.15
4140,Niklas,Malmberg,nicke,SWE,Production,-4.23,24.67,34.34,-78.36,1,-7.16
4141,Daniel,Christoffersson,,SWE,Production,-4.24,18.22,26.69,-61.85,2,-7.18
4142,Lars,Forsman,czbeardly,SWE,Production,-4.26,24.78,34.5,-78.73,1,-7.21
4143,Erik,Hansson,snubbelfot,SWE,Production,-4.26,24.8,34.53,-78.8,1,-7.22
4144,Jimmy,Tjörnvik,,SWE,Production,-4.27,24.8,34.54,-78.81,1,-7.23
