division_rank,first_name,last_name,alias,region,division,conservative_rating,mu,sigma,ordinal,matches_played,percentage_of_best
126,Magnus,Söderberg,suntzu,SWE,Revolver,-3.88,23.2,32.17,-73.31,1,-20.58
127,Henrik,Smeds,smeden,SWE,Revolver,-4.04,21.11,29.89,-68.56,1,-21.45
128,Sofie,Karlsson,,SWE,Revolver,-4.05,22.88,32.0,-73.13,1,-21.5
129,Per,Egemalm,darrigapuffran,SWE,Revolver,-4.08,23.19,32.4,-74.01,3,-21.65
130,Annika,Görmarker,nickan,SWE,Revolver,-4.29,20.73,29.74,-68.48,3,-22.79
131,Jörgen,Eriksson,twoalpha,SWE,Revolver,-4.39,21.26,30.48,-70.17,1,-23.3
132,Erik,Johansson,,SWE,Revolver,-4.58,8.2,15.19,-37.37,23,-24.32
133,Leif,Hagberg,vsop,SWE,Revolver,-5.05,23.05,33.39,-77.11,2,-26.79
134,Bernt,Andersson,,SWE,Revolver,-5.55,23.46,34.47,-79.95,1,-29.46
135,"Thomas ""Vasa""",Martinsson,,SWE,Revolver,-6.25,14.42,24.56,-59.27,9,-33.19
136,Germund,Eriksson,,SWE,Revolver,-6.33,19.52,30.72,-72.63,2,-33.6
137,Daniel,Holmberg,rioter,SWE,Revolver,-6.36,24.64,36.83,-85.85,1,-33.73
138,Patrik,Frost,,SWE,Revolver,-6.53,18.87,30.17,-71.65,2,-34.64
139,Gabriel,Hübinette,cerastes,SWE,Revolver,-6.65,17.79,29.04,-69.32,2,-35.27
140,Björn,Svensson,ursus,SWE,Revolver,-6.86,24.71,37.51,-87.82,1,-36.41
141,Staffan,Roos,,SWE,Revolver,-7.02,14.42,25.48,-62.02,3,-37.26
142,Peter,Alvarsson,cohiba,SWE,Revolver,-7.06,21.14,33.51,-79.39,1,-37.48
143,Olof,Bengtsson,linde,SWE,Revolver,-7.36,21.05,33.76,-80.22,1,-39.06
144,Helena,Marinovic,,SWE,Revolver,-7.64,17.96,30.41,-73.28,1,-40.54
145,Christoffer,Hermansson,coffe,SWE,Revolver,-8.27,13.95,26.41,-65.28,2,-43.91
146,Krister,Vauhkonen,,SWE,Revolver,-8.72,16.87,30.4,-74.33,4,-46.27
147,Fredrick,Johansson,,SWE,Revolver,-8.72,18.15,31.92,-77.62,2,-46.28
148,Olle,Ahlström,,SWE,Revolver,-9.29,14.7,28.5,-70.81,3,-49.31
149,David,Andersson,davane,SWE,Revolver,-11.25,14.46,30.54,-77.16,1,-59.68
150,Tom,Jonsson,kingen,SWE,Revolver,-11.26,13.25,29.12,-74.12,1,-59.77
151,Dennis,Haglund,tunnan,SWE,Revolver,-11.96,13.16,29.85,-76.39,1,-63.48
152,Richard W,Lundgren,mabuse,SWE,Revolver,-12.05,8.04,23.87,-63.57,6,-63.93
153,Erik,Hansson,snubbelfot,SWE,Revolver,-12.36,12.88,29.99,-77.09,3,-65.59
154,Niklas,Jepping,,SWE,Revolver,-14.88,14.4,34.79,-89.97,1,-78.98
155,Tommy,Bergstrom,vingli,SWE,Revolver,-14.95,14.13,34.55,-89.51,1,-79.34
156,Christoffer,Horsvik,forestermax,SWE,Revolver,-15.17,6.07,25.24,-69.64,3,-80.49
157,Martin,Transö,titan,SWE,Revolver,-15.24,11.72,32.03,-84.39,2,-80.9
158,Hans,Kjellsson,,SWE,Revolver,-15.44,6.23,25.75,-71.02,3,-81.95
159,Kjell,Marklund,lakelander,SWE,Revolver,-15.74,8.97,29.37,-79.13,2,-83.55
160,Pontus,Johansson,,SWE,Revolver,-16.04,8.65,29.33,-79.35,2,-85.11
161,Jonny,Nordin,murgo,SWE,Revolver,-18.3,7.84,31.06,-85.35,3,-97.15
162,Ulf,Larsson,gaisakefeskeboxa,SWE,Revolver,-19.03,4.3,27.72,-78.87,2,-100.99
163,Jens,Björnsson,,SWE,Revolver,-24.57,-0.58,28.51,-86.11,3,-130.42
